,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
709,subtractive,"ra = 0.1,tol = 1",Mahalanobis,118.2970237231196,1360.2789928593097,-0.5150684187492534,58.6507562049114,3.297723886953169,0.08546484258048345,2,0.4619268888269863
500,subtractive,"ra = 0.1,tol = 0.1",Minkowski,2899.1204789254625,0.014382816423912974,5.535265256244146,28.18097228142369,0.438743559578437,0.6258685521686335,17,0.4483554389395001
501,subtractive,"ra = 0.1,tol = 0.2",Minkowski,2419.037188810962,0.02572953212398394,5.130327567870186,29.342888598192253,0.4608319229851829,0.5825343447333386,14,0.4120854922469755
788,subtractive,"ra = 0.9,tol = 0.9",Mahalanobis,112.58125038948576,1040.5145889151145,-0.5645918440452067,57.71284569045365,1.8411099340379211,0.0874441550616299,2,0.3824076201800457
789,subtractive,"ra = 0.9,tol = 1",Mahalanobis,112.58125038948576,1040.5145889151145,-0.5645918440452067,57.71284569045365,1.8411099340379211,0.0874441550616299,2,0.3824076201800457
799,subtractive,"ra = 1,tol = 1",Mahalanobis,112.58125038948576,1040.5145889151145,-0.5645918440452067,57.71284569045365,1.8411099340379211,0.0874441550616299,2,0.3824076201800457
439,mountain,"sigma = 0.4,tol = 1,grid p = 6",Minkowski,1068.5604847613868,5.068814027452596,1.685800649632768,39.077572403780025,0.2124756976408055,0.8239050505738537,2,0.37446358459058643
437,mountain,"sigma = 0.4,tol = 0.8,grid p = 6",Minkowski,1068.5604847613868,5.068814027452596,1.685800649632768,39.077572403780025,0.2124756976408055,0.8239050505738537,2,0.37446358459058643
438,mountain,"sigma = 0.4,tol = 0.9,grid p = 6",Minkowski,1068.5604847613868,5.068814027452596,1.685800649632768,39.077572403780025,0.2124756976408055,0.8239050505738537,2,0.37446358459058643
558,subtractive,"ra = 0.6,tol = 0.9",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
596,subtractive,"ra = 1,tol = 0.7",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
599,subtractive,"ra = 1,tol = 1",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
594,subtractive,"ra = 1,tol = 0.5",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
559,subtractive,"ra = 0.6,tol = 1",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
597,subtractive,"ra = 1,tol = 0.8",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
557,subtractive,"ra = 0.6,tol = 0.8",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
595,subtractive,"ra = 1,tol = 0.6",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
592,subtractive,"ra = 1,tol = 0.3",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
567,subtractive,"ra = 0.7,tol = 0.8",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
569,subtractive,"ra = 0.7,tol = 1",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
579,subtractive,"ra = 0.8,tol = 1",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
578,subtractive,"ra = 0.8,tol = 0.9",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
593,subtractive,"ra = 1,tol = 0.4",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
568,subtractive,"ra = 0.7,tol = 0.9",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
590,subtractive,"ra = 1,tol = 0.1",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
556,subtractive,"ra = 0.6,tol = 0.7",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
588,subtractive,"ra = 0.9,tol = 0.9",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
587,subtractive,"ra = 0.9,tol = 0.8",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
591,subtractive,"ra = 1,tol = 0.2",Minkowski,1093.8929512559228,4.3098704601343725,1.7092310967281408,38.50987582469986,0.21909648649685665,0.8239050505738537,2,0.3740738740519129
